BOROUGH,GRADE ,PROGRAM TYPE,NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
Bronx,12-Sep,CTT,1410,53,26.6
Bronx,12-Sep,CTT,491,20,24.6
Bronx,12-Sep,CTT,382,15,25.5
Bronx,12-Sep,CTT,55,2,27.5
Bronx,12-Sep,CTT,146,6,24.3
Bronx,12-Sep,CTT,2512,92,27.3
Bronx,12-Sep,CTT,5027,191,26.3
Bronx,12-Sep,CTT,627,27,23.2
Bronx,12-Sep,CTT,512,19,26.9
Bronx,12-Sep,CTT,2955,108,27.4
Bronx,12-Sep,CTT,6099,231,26.4
Bronx,12-Sep,CTT,2138,79,27.1
Bronx,12-Sep,CTT,148,6,24.7
Bronx,12-Sep,CTT,825,30,27.5
Bronx,12-Sep,CTT,1300,47,27.7
Bronx,12-Sep,SPEC ED,977,79,12.4
Bronx,12-Sep,SPEC ED,605,49,12.3
Bronx,12-Sep,SPEC ED,516,43,12
Bronx,12-Sep,SPEC ED,291,25,11.6
Bronx,12-Sep,SPEC ED,394,35,11.3
Bronx,12-Sep,SPEC ED,703,57,12.3
Bronx,12-Sep,SPEC ED,1484,116,12.8
Bronx,12-Sep,SPEC ED,269,21,12.8
Bronx,12-Sep,SPEC ED,120,10,12
Bronx,12-Sep,SPEC ED,23,2,11.5
Bronx,12-Sep,SPEC ED,81,8,10.1
Bronx,12-Sep,SPEC ED,574,44,13
Bronx,12-Sep,SPEC ED,1122,86,13
Bronx,12-Sep,SPEC ED,38,3,12.7
Bronx,12-Sep,SPEC ED,770,58,13.3
Bronx,12-Sep,SPEC ED,1816,142,12.8
Bronx,12-Sep,SPEC ED,672,50,13.4
Bronx,12-Sep,SPEC ED,12,1,12
Bronx,12-Sep,SPEC ED,199,17,11.7
Bronx,12-Sep,SPEC ED,59,5,11.8
